i,ts,lead_h,obs_lat,obs_lon,obs_kt,obs_cat,pred_lat,pred_lon,pred_kt,pred_kt_q10,pred_kt_q90,true_lat,true_lon,true_kt,err_km,pers_err_km,kt_err,pers_kt_err,in_cone
21,2019-05-01 00:00:00+00:00,24,13.9,84.1,95.0,ESCS,15.433807458221338,83.61605082990229,111.3818546149474,74.36104997536425,121.74271528356627,15.9,84.6,105.0,117.42674367850222,188.48849108566336,6.3818546149474,-10.0,True
22,2019-05-01 06:00:00+00:00,6,14.2,84.0,95.0,ESCS,14.536259675893685,83.91647146497363,95.0,91.8178474379678,111.59887834792346,14.9,84.1,100.0,44.837433457435615,49.22861055515279,-5.0,-5.0,False
22,2019-05-01 06:00:00+00:00,12,14.2,84.0,95.0,ESCS,14.97241955382674,83.99173867005292,95.21428742574129,88.7816278637348,110.12671304901818,15.2,84.2,100.0,33.69584957218002,61.7676708081596,-4.78571257425871,-5.0,True
22,2019-05-01 06:00:00+00:00,18,14.2,84.0,95.0,ESCS,15.228504958960505,84.04588544520041,100.08882827714947,85.99943775452431,113.83180591975592,15.9,84.6,105.0,95.15070896829988,131.11038796886834,-4.911171722850526,-10.0,True
22,2019-05-01 06:00:00+00:00,24,14.2,84.0,95.0,ESCS,15.706559086033671,84.12101372890275,100.71898388171458,74.87231769399115,116.90596000044718,16.8,84.8,110.0,141.10077312927314,201.3765488485026,-9.281016118285422,-15.0,True
23,2019-05-01 12:00:00+00:00,6,14.9,84.1,100.0,ESCS,15.553216994813553,84.22975967481116,100.0,99.07034815843019,114.07873956171176,15.2,84.2,100.0,39.214677715452765,44.256221976125175,0.0,0.0,False
23,2019-05-01 12:00:00+00:00,12,14.9,84.1,100.0,ESCS,16.2496780791072,84.5217861857128,104.09617788792217,93.50228892620225,116.65866878330164,15.9,84.6,105.0,39.589748536452355,54.57442044081441,-0.9038221120778331,-5.0,True
23,2019-05-01 12:00:00+00:00,18,14.9,84.1,100.0,ESCS,16.515466167494527,84.82928776781615,102.46787167390353,82.30916412182152,115.56639322492454,16.8,84.8,110.0,31.642723660862778,47.71001991193602,-7.532128326096469,-10.0,True
23,2019-05-01 12:00:00+00:00,24,14.9,84.1,100.0,ESCS,17.071080517160194,84.85378330749835,108.19388986242201,77.94634649932621,120.92537853466251,17.6,84.8,115.0,58.815568922741846,33.11782528904264,-6.806110137577988,-15.0,True
24,2019-05-01 18:00:00+00:00,6,15.2,84.2,100.0,ESCS,15.519845995281994,84.33803271088102,100.0,93.01718415182316,107.04610164695275,15.9,84.6,105.0,50.57694516002833,54.702492970033425,-5.0,-5.0,False
24,2019-05-01 18:00:00+00:00,12,15.2,84.2,100.0,ESCS,15.99684606290042,84.63115860346304,97.76619479901385,89.11642743296781,111.47681540728519,16.8,84.8,110.0,90.69071532979325,118.61684865592,-12.233805200986154,-10.0,False
24,2019-05-01 18:00:00+00:00,18,15.2,84.2,100.0,ESCS,16.248900897760052,84.8634819704367,99.74580945358544,82.20548907439708,111.82494136579567,17.6,84.8,115.0,149.67692817661958,169.04615937728624,-15.254190546414563,-15.0,False
24,2019-05-01 18:00:00+00:00,24,15.2,84.2,100.0,ESCS,16.69211821351842,85.09749405392368,100.39464682078528,73.22618609019104,113.74974350068882,18.3,85.0,115.0,178.25288763579022,214.5233556546146,-14.605353179214717,-15.0,False
25,2019-05-02 00:00:00+00:00,6,15.9,84.6,105.0,ESCS,16.55251003278135,85.0049751770959,105.0,103.07707723827708,116.99342764052527,16.8,84.8,110.0,35.04534497320364,30.84899830143959,-5.0,-5.0,True
25,2019-05-02 00:00:00+00:00,12,15.9,84.6,105.0,ESCS,17.336566405057305,85.70609509799318,109.10326483438033,95.16464729896813,119.36140927641651,17.6,84.8,115.0,100.56242154926493,72.45733593138618,-5.896735165619674,-10.0,False
25,2019-05-02 00:00:00+00:00,18,15.9,84.6,105.0,ESCS,17.96561735821421,86.26778162487459,105.6273146982612,86.4794822711213,118.08438320197304,18.3,85.0,115.0,139.17421063773767,92.33687318484479,-9.372685301738798,-10.0,False
25,2019-05-02 00:00:00+00:00,24,15.9,84.6,105.0,ESCS,18.367184355029924,86.88896482063898,97.98511677602133,81.27841172387373,120.31300371736603,19.1,85.5,105.0,167.4362434371917,88.47599514904263,-7.014883223978671,0.0,False
26,2019-05-02 06:00:00+00:00,6,16.8,84.8,110.0,ESCS,17.68830112444013,85.07538253030533,110.0,108.6132134924137,120.47824297315623,17.6,84.8,115.0,30.81318023811139,24.022158483637433,-5.0,-5.0,True
26,2019-05-02 06:00:00+00:00,12,16.8,84.8,110.0,ESCS,18.701766700906784,85.58590901948173,111.60102660287461,95.36057133412481,122.74506900762893,18.3,85.0,115.0,76.1960884200295,39.54008629356031,-3.3989733971253884,-5.0,False
26,2019-05-02 06:00:00+00:00,18,16.8,84.8,110.0,ESCS,19.560599702292244,86.22417502163339,99.48408537878649,65.91082377626051,121.93597824975681,19.1,85.5,105.0,91.59969980994892,45.174407990406785,-5.515914621213511,5.0,True
26,2019-05-02 06:00:00+00:00,24,16.8,84.8,110.0,ESCS,20.41449360466013,86.92995232945484,88.74593556470907,70.60498238876983,120.43294790666671,20.2,85.9,85.0,110.16039161631917,36.83304674416246,3.7459355647090717,25.0,True
27,2019-05-02 12:00:00+00:00,6,17.6,84.8,115.0,ESCS,18.382825072886224,84.85115255665899,113.7430232620486,107.08856429419038,122.81724993826842,18.3,85.0,115.0,18.209101364150584,23.85794480140754,-1.2569767379514047,0.0,True
27,2019-05-02 12:00:00+00:00,12,17.6,84.8,115.0,ESCS,19.27439987803937,85.15634954565245,104.17056559159751,82.94615869328298,121.78565529315011,19.1,85.5,105.0,40.975602150128985,74.46219765168328,-0.8294344084024914,10.0,True
27,2019-05-02 12:00:00+00:00,18,17.6,84.8,115.0,ESCS,20.03815547537559,85.51313306800972,81.51152488650713,52.64982117761852,121.05956747149497,20.2,85.9,85.0,44.24414700640594,117.15845747358432,-3.4884751134928678,30.0,True
27,2019-05-02 12:00:00+00:00,24,17.6,84.8,115.0,ESCS,20.605218318286248,85.90996577215554,73.69379869449244,49.06218606150456,117.26159833041123,21.2,86.5,70.0,90.02561786799096,182.23070057400443,3.6937986944924432,45.0,True
28,2019-05-02 18:00:00+00:00,6,18.3,85.0,115.0,ESCS,19.031558687675567,85.24353651883631,108.617536980444,90.95919026240396,123.23468957312039,19.1,85.5,105.0,28.03592471064818,33.38250526767572,3.617536980444001,10.0,True
28,2019-05-02 18:00:00+00:00,12,18.3,85.0,115.0,ESCS,19.932354582787763,85.84464132032284,93.9755862857067,73.44184958464004,119.54285395896432,20.2,85.9,85.0,30.1902675864045,75.97127791577101,8.975586285706697,30.0,True
28,2019-05-02 18:00:00+00:00,18,18.3,85.0,115.0,ESCS,20.7322275843958,86.41131331943814,76.67081342356241,48.326069093264664,119.51942363454897,21.2,86.5,70.0,52.60496274240531,128.43599538742316,6.670813423562407,45.0,True
28,2019-05-02 18:00:00+00:00,24,18.3,85.0,115.0,ESCS,21.24720862791451,87.09244833105862,68.52350653499226,44.55843306884853,114.30908844007989,22.1,87.4,55.0,99.64661650274182,198.20766001004137,13.523506534992265,60.0,True
29,2019-05-03 00:00:00+00:00,6,19.1,85.5,105.0,ESCS,19.91875082781337,86.05650053914364,97.52917190081328,76.35873438240006,108.20511441295254,20.2,85.9,85.0,35.17735573724538,34.90898999570609,12.529171900813282,20.0,True
29,2019-05-03 00:00:00+00:00,12,19.1,85.5,105.0,ESCS,20.72736496022962,86.93743700195665,84.76439870542492,60.447708845685845,103.95026258799409,21.2,86.5,70.0,69.33781376412153,55.55669163078953,14.764398705424924,35.0,True
